location,year,km_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price,brand,model,id
Ahmedabad,2017,63939,Diesel,Manual,First,25.47,1248.0,88.5,7.0,3991250.0,maruti,ertiga,
Delhi,2014,35214,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,1648000.0,maruti,celerio,
Delhi,2015,63000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,2523500.0,maruti,swift,
Kochi,2012,121377,Petrol,Manual,First,15.04,1598.0,103.6,5.0,1957000.0,volkswagen,vento,
Chennai,2009,100970,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,2060000.0,volkswagen,jetta,
Hyderabad,2014,60000,Diesel,Automatic,Second,20.7,1496.0,113.98,5.0,12102500.0,mini,cooper,
Chennai,2008,77650,Diesel,Manual,First,17.2,1396.0,53.5,5.0,592250.0,tata,indica,
Hyderabad,2007,71297,Petrol,Manual,First,17.0,1086.0,92.23,5.0,1133000.0,hyundai,santro,
Mumbai,2008,55001,Diesel,Automatic,Second,12.89,2475.719298245614,189.6,5.0,13647500.0,land-rover,range,
Bangalore,2015,18955,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,5484750.0,honda,city,
Coimbatore,2016,47877,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,18375200.0,jaguar,xf,
Kochi,2017,43368,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,16449100.0,mercedes-benz,e-class,
Chennai,2011,73000,Diesel,Manual,Third,18.3,1991.0,147.9,5.0,2163000.0,chevrolet,cruze,
Ahmedabad,2015,72007,Diesel,Manual,First,15.1,2179.0,140.0,7.0,5098500.0,mahindra,xuv500,
Kochi,2014,56778,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,7961900.0,n,e,
Kochi,2018,20024,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4356900.0,honda,jazz,
Kolkata,2013,42103,Petrol,Manual,First,16.78,1496.0,88.73,5.0,1673750.0,toyota,etios,
Hyderabad,2012,67147,Petrol,Manual,First,19.7,796.0,46.3,5.0,1339000.0,maruti,alto,
Coimbatore,2016,37806,Petrol,Manual,First,20.4,1197.0,81.8,5.0,2678000.0,maruti,swift,
Pune,2009,85000,Petrol,Manual,Third,19.0,998.0,66.1,5.0,927000.0,maruti,a-star,
Chennai,2011,35000,Petrol,Manual,First,25.4,624.0,37.48,4.0,824000.0,tata,nano,
Kolkata,2015,72035,Diesel,Manual,First,25.5,1498.0,99.0,5.0,1287500.0,ford,figo,
Jaipur,2011,48500,Petrol,Manual,First,16.0,1368.0,90.0,5.0,1287500.0,fiat,linea,
Coimbatore,2017,28854,Petrol,Manual,First,18.16,1196.0,86.8,5.0,3450500.0,ford,figo,
Hyderabad,2005,92450,Petrol,Manual,First,15.4,1590.0,94.0,5.0,618000.0,maruti,baleno,
Coimbatore,2016,14351,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,18308250.0,bmw,3-series,
Jaipur,2017,51087,Diesel,Manual,First,17.9,1998.0,163.7,5.0,3991250.0,chevrolet,cruze,
Chennai,2005,50000,Diesel,Manual,First,12.7,2609.0,116.6,8.0,999100.0,mahindra,scorpio,
Hyderabad,2016,73000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,1133000.0,tata,indica,
Ahmedabad,2011,60000,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,1957000.0,chevrolet,cruze,
Chennai,2016,50000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,8059750.0,toyota,innova,
Coimbatore,2018,36797,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,20327050.0,n,e,
Kolkata,2011,50000,Petrol,Manual,Second,18.5,1197.0,85.8,5.0,772500.0,maruti,ritz,
Ahmedabad,2013,94000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,4557750.0,toyota,innova,
Bangalore,2013,74000,Diesel,Manual,Second,12.55,2982.0,168.5,7.0,9218500.0,toyota,fortuner,
Coimbatore,2014,41016,Petrol,Automatic,Second,16.95,1197.0,78.9,5.0,2616200.0,hyundai,i10,
Bangalore,2012,67000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,3218750.0,hyundai,verna,
Bangalore,2015,76927,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,11716250.0,audi,q3,
Kolkata,2010,17088,Petrol,Manual,First,18.6,1199.0,79.4,5.0,751900.0,chevrolet,beat,
Pune,2007,112808,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1055750.0,ford,fiesta,
Coimbatore,2014,74980,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2101200.0,ford,figo,
Hyderabad,2014,44600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,2343250.0,maruti,celerio,
Mumbai,2013,37000,Diesel,Automatic,First,20.0,2143.0,107.3,5.0,7210000.0,mercedes-benz,a,
Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591.0,121.3,5.0,5613500.0,hyundai,creta,
Bangalore,2010,81245,Petrol,Manual,First,18.9,998.0,67.1,5.0,1261750.0,maruti,wagon-r,
Delhi,2013,70000,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,8137000.0,mercedes-benz,e-class,
Mumbai,2017,4018,Petrol,Manual,First,18.88,1499.0,110.4,5.0,4248750.0,ford,ecosport,
Delhi,2013,70000,Diesel,Automatic,Second,13.73,1995.0,148.0,5.0,4377500.0,renault,koleos,
Coimbatore,2016,56532,Diesel,Manual,First,16.0,2179.0,140.0,7.0,8003100.0,mahindra,xuv500,
Hyderabad,2013,26875,Petrol,Manual,First,16.8,796.0,34.2,8.0,1210250.0,maruti,omni,
Coimbatore,2015,72599,Petrol,Manual,First,22.5,998.0,67.04,5.0,2224800.0,maruti,wagon-r,
Jaipur,2008,205000,Diesel,Manual,Second,13.1,2499.0,141.0,7.0,2008500.0,ford,endeavour,
Hyderabad,2011,98000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,2678000.0,hyundai,verna,
Mumbai,2018,19500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,3012750.0,hyundai,i20,
Bangalore,2013,68000,Petrol,Manual,Second,16.02,1373.0,93.7,7.0,3218750.0,maruti,ertiga,
Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,9079450.0,mahindra,xuv500,
Mumbai,2017,26000,Diesel,Manual,First,23.65,1248.0,88.5,5.0,5021250.0,maruti,sx4,
Bangalore,2015,10000,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,28325000.0,mercedes-benz,slk-class,
Hyderabad,2011,75020,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2111500.0,volkswagen,polo,
Hyderabad,2011,157000,Diesel,Manual,First,12.55,2982.0,168.5,7.0,6174850.0,toyota,fortuner,
Kochi,2017,43773,Diesel,Manual,First,16.0,2179.0,140.0,7.0,6973100.0,mahindra,xuv500,
Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,28840000.0,mercedes-benz,gle,
Chennai,2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,3347500.0,honda,jazz,
Pune,2013,88000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,2446250.0,maruti,swift,
Hyderabad,2014,67000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,2884000.0,hyundai,verna,
Coimbatore,2017,59636,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,15038000.0,ford,endeavour,
Kolkata,2018,11000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,3270250.0,hyundai,i20,
Mumbai,2013,60669,Petrol,Manual,First,16.8,1497.0,116.3,5.0,2549250.0,honda,city,
Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,4377500.0,honda,amaze,
Kolkata,2013,35000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,2317500.0,hyundai,verna,
Chennai,2015,65000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,2832500.0,honda,mobilio,
Kochi,2013,39929,Diesel,Manual,First,20.77,1248.0,88.8,7.0,3378400.0,maruti,ertiga,
Pune,2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,1184500.0,maruti,alto,
Pune,2004,77757,Diesel,Manual,Second,13.1,2446.0,75.0,10.0,1802500.0,toyota,qualis,
Kochi,2016,21456,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2343250.0,hyundai,i10,
Bangalore,2009,74000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,3991250.0,skoda,laura,
Mumbai,2015,37000,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,2703750.0,hyundai,i20,
Coimbatore,2013,108640,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,11994350.0,bmw,5-series,
Mumbai,2016,38000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,12354850.0,bmw,3-series,
Pune,2010,80000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,921850.0,chevrolet,aveo,
Mumbai,2011,47000,Diesel,Automatic,Second,14.21,2143.0,203.0,5.0,7158500.0,mercedes-benz,e-class,
Kolkata,2013,31000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,9759250.0,audi,a6,
Kolkata,2014,40000,Petrol,Manual,First,20.51,998.0,67.04,5.0,1282350.0,maruti,wagon-r,
Jaipur,2016,4152,Petrol,Manual,First,25.17,799.0,53.3,5.0,1622250.0,renault,kwid,
Mumbai,2017,51000,Diesel,Manual,First,21.66,1498.0,108.62,5.0,3321750.0,volkswagen,ameo,
Ahmedabad,2013,55000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2188750.0,volkswagen,polo,
Hyderabad,2014,58500,Petrol,Manual,First,22.74,796.0,47.3,5.0,1416250.0,maruti,alto,
Kochi,2017,58620,Petrol,Manual,First,18.6,1197.0,81.83,5.0,3677100.0,hyundai,i20,
Mumbai,2012,29605,Petrol,Manual,First,18.3,1197.0,128.92,5.0,1256600.0,toyota,etios,
Jaipur,2012,71172,Petrol,Manual,Third,17.0,1197.0,80.0,5.0,1802500.0,hyundai,i20,
Chennai,2017,12000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,3759500.0,hyundai,i20,
Kolkata,2014,25000,Petrol,Manual,First,20.51,998.0,67.04,5.0,1416250.0,maruti,wagon-r,
Bangalore,2017,43000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,4223000.0,hyundai,i20,
Mumbai,2015,57022,Petrol,Automatic,First,17.21,1197.0,103.6,5.0,3352650.0,volkswagen,polo,
Pune,2015,92000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2188750.0,ford,figo,
Coimbatore,2014,33372,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,3198150.0,maruti,swift,
Kochi,2016,52625,Diesel,Manual,First,24.0,1120.0,70.0,5.0,2358700.0,hyundai,grand,
Chennai,2016,215000,Diesel,Manual,First,14.02,2179.0,118.3,7.0,3862500.0,mahindra,xylo,
Delhi,2012,65537,CNG,Manual,First,26.83,796.0,38.4,5.0,1081500.0,maruti,alto,
Coimbatore,2014,60138,Petrol,Manual,First,19.81,1086.0,68.05,5.0,2106350.0,hyundai,i10,
Mumbai,2014,84000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,5536250.0,skoda,octavia,
Mumbai,2014,47000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,21372500.0,bmw,x5,
Hyderabad,2014,33450,Petrol,Automatic,First,23.1,998.0,67.04,5.0,2266000.0,maruti,celerio,
Jaipur,2013,125000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,3218750.0,volkswagen,vento,
Pune,2011,99606,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,5407500.0,bmw,3-series,
Mumbai,2014,64000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,3733750.0,maruti,ertiga,
Hyderabad,2013,51000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,1648000.0,ford,figo,
Mumbai,2014,57000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,2034250.0,volkswagen,polo,
Coimbatore,2009,48040,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,6216050.0,audi,a6,
Pune,2017,43200,Diesel,Manual,First,13.68,2393.0,147.8,7.0,9579000.0,toyota,innova,
Delhi,2013,66000,Diesel,Automatic,First,22.32,1582.0,126.3,5.0,2935500.0,hyundai,verna,
Kolkata,2013,31000,Petrol,Manual,First,17.92,1086.0,62.1,5.0,901250.0,hyundai,santro,
Delhi,2011,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,5659850.0,audi,a4,
Kolkata,2012,47346,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,7467500.0,audi,a4,
Jaipur,2009,100000,Diesel,Manual,First,17.0,1896.0,105.0,5.0,1601650.0,skoda,laura,
Coimbatore,2015,63856,Petrol,Automatic,First,13.7,1997.0,153.86,5.0,7189400.0,honda,cr-v,
Coimbatore,2015,72996,Diesel,Manual,First,22.32,1582.0,126.32,5.0,3661650.0,hyundai,verna,
Chennai,2014,23000,Diesel,Manual,First,24.5,1498.0,98.6,7.0,3553500.0,honda,mobilio,
Coimbatore,2018,15985,Petrol,Manual,First,18.6,1197.0,81.83,5.0,4001550.0,hyundai,i20,
Kolkata,2011,98000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,2832500.0,toyota,innova,
Hyderabad,2014,70089,Petrol,Manual,First,18.6,1197.0,81.83,5.0,2755250.0,hyundai,i20,
Chennai,2011,99000,Diesel,Manual,Second,13.6,2523.0,63.0,7.0,2317500.0,mahindra,bolero,
Jaipur,2014,72000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,2446250.0,volkswagen,vento,
Coimbatore,2015,44194,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,16892000.0,jaguar,xf,
Mumbai,2005,102000,Petrol,Manual,First,17.3,993.0,60.0,5.0,360500.0,maruti,zen,
Coimbatore,2018,56652,Diesel,Automatic,First,13.0,2987.0,258.0,5.0,25899350.0,mercedes-benz,e-class,
Mumbai,2010,41650,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,5659850.0,toyota,fortuner,
Coimbatore,2015,61717,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,2868550.0,hyundai,grand,
Jaipur,2018,25302,Diesel,Manual,First,25.4,1186.0,73.97,5.0,3038500.0,hyundai,xcent,
Coimbatore,2016,47016,Petrol,Manual,First,15.29,1591.0,121.3,5.0,4856450.0,hyundai,creta,
Bangalore,2010,69000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,1493500.0,hyundai,i10,
Delhi,2016,32700,Petrol,Manual,First,19.4,1198.0,86.8,5.0,1895200.0,honda,brio,
Coimbatore,2015,101337,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,11160050.0,toyota,fortuner,
Ahmedabad,2011,59000,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,6437500.0,audi,a4,
Kochi,2018,41736,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,10258800.0,toyota,innova,
Jaipur,2014,71649,Diesel,Manual,First,25.1,1498.0,98.6,5.0,3476250.0,honda,city,
Kochi,2015,80606,Diesel,Manual,First,25.1,1498.0,98.6,5.0,3584400.0,honda,city,
Jaipur,2017,63262,Petrol,Manual,First,21.7,999.0,67.0,5.0,1673750.0,renault,kwid,
Hyderabad,2018,5456,Diesel,Manual,First,28.4,1248.0,74.0,5.0,4454750.0,maruti,swift,
Pune,2017,7500,Petrol,Automatic,First,23.1,998.0,67.04,5.0,2575000.0,maruti,celerio,
Delhi,2011,66000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,2832500.0,mahindra,xuv500,
Jaipur,2010,66770,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,1339000.0,hyundai,i10,
Kochi,2014,58472,Petrol,Manual,First,19.81,1086.0,68.05,5.0,1756150.0,hyundai,i10,
Kolkata,2011,46687,Petrol,Manual,First,22.0,1197.0,81.8,5.0,1390500.0,maruti,dzire,
Chennai,2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995.0,163.5,5.0,2832500.0,maruti,grand,
Kolkata,2012,7000,Petrol,Automatic,First,14.33,1984.0,226.6,4.0,18025000.0,audi,tt,
Mumbai,2011,48000,Petrol,Automatic,Second,14.74,1991.0,184.0,5.0,5021250.0,n,e,
Mumbai,2013,47000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,2188750.0,nissan,sunny,
Ahmedabad,2015,51530,Petrol,Manual,First,18.9,998.0,67.1,5.0,1648000.0,maruti,wagon-r,
Bangalore,2014,25789,Diesel,Manual,Second,23.4,1248.0,74.0,5.0,3527750.0,maruti,swift,
Delhi,2015,48000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,2317500.0,honda,amaze,
Delhi,2012,52000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,1828250.0,maruti,swift,
Hyderabad,2010,95637,CNG,Manual,Second,13.2,1495.0,93.7,5.0,978500.0,hyundai,accent,
Hyderabad,2008,131000,Diesel,Manual,First,10.5,2609.0,120.0,7.0,1854000.0,mahindra,scorpio,
Kochi,2015,42076,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,11227000.0,mercedes-benz,e-class,
Mumbai,2012,76000,Diesel,Manual,Second,13.0,2982.0,168.5,7.0,6952500.0,toyota,fortuner,
Bangalore,2016,20487,Petrol,Manual,First,22.7,799.0,53.64,5.0,1369900.0,datsun,redi-go,
Delhi,2010,43000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,1931250.0,honda,city,
Pune,2018,17000,Petrol,Automatic,First,19.16,2494.0,158.2,5.0,16480000.0,toyota,camry,
Coimbatore,2016,60805,Diesel,Manual,First,26.0,1498.0,98.6,5.0,4156050.0,honda,city,
Kochi,2012,58775,Diesel,Manual,First,19.33,1968.0,138.1,5.0,2904600.0,volkswagen,jetta,
Hyderabad,2013,70181,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,12354850.0,audi,a6,
Coimbatore,2016,85827,Diesel,Manual,First,20.77,1248.0,88.76,7.0,3862500.0,maruti,ertiga,
Jaipur,2016,58205,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,13905000.0,n,e,
Mumbai,2008,91000,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,1467750.0,maruti,swift,
Pune,2012,74000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,3270250.0,renault,duster,
Hyderabad,2010,79324,Diesel,Manual,First,21.1,1248.0,73.9,5.0,1699500.0,maruti,ritz,
Bangalore,2013,38623,Petrol,Manual,First,19.1,1197.0,85.8,5.0,2575000.0,maruti,swift,
Coimbatore,2014,59923,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3326900.0,maruti,swift,
Jaipur,2017,23360,Petrol,Manual,First,21.1,814.0,55.2,5.0,1931250.0,hyundai,eon,
Kochi,2003,61495,Petrol,Manual,Third,17.3,993.0,60.0,5.0,782800.0,maruti,zen,
Coimbatore,2012,56661,Petrol,Manual,First,15.1,1196.0,73.0,7.0,1859150.0,maruti,eeco,
Coimbatore,2017,40318,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,22526100.0,audi,q5,
Chennai,2014,60000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,10300000.0,audi,q3,
Pune,2008,103000,Diesel,Automatic,Second,18.33,799.0,113.06,2.0,1545000.0,smart,fortwo,
Hyderabad,2010,130000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,1879750.0,maruti,swift,
Mumbai,2013,20000,Diesel,Manual,First,14.07,1978.0,83.1,10.0,2703750.0,tata,sumo,
Hyderabad,2016,76000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,29870000.0,bmw,x5,
Mumbai,2015,30000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,4454750.0,honda,city,
Delhi,2015,150000,Diesel,Manual,First,25.0,1396.0,69.01,5.0,1287500.0,tata,indigo,
Chennai,2014,28000,Petrol,Automatic,First,16.93,1197.0,103.6,5.0,3991250.0,volkswagen,vento,
Bangalore,2015,74000,Petrol,Manual,First,23.1,998.0,67.04,5.0,2137250.0,maruti,celerio,
Delhi,2011,75000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,5587750.0,toyota,fortuner,
Delhi,2010,76000,Petrol,Automatic,Second,11.3,2360.0,170.0,5.0,2847950.0,mitsubishi,outlander,
Pune,2014,64889,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,5922500.0,volkswagen,jetta,
Hyderabad,2010,10000,Petrol,Manual,First,9.0,3436.0,331.29,2.0,20600000.0,porsche,cayman,
Kolkata,2015,43000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,4763750.0,hyundai,creta,
Pune,2011,47490,Petrol,Manual,First,17.5,1198.0,75.0,5.0,1179350.0,skoda,fabia,
Chennai,2015,80000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,3605000.0,ford,ecosport,
Bangalore,2007,60000,Petrol,Manual,Second,18.2,1061.0,64.0,5.0,849750.0,maruti,zen,
Ahmedabad,2017,6006,Petrol,Manual,First,20.73,1373.0,91.1,5.0,4248750.0,maruti,ciaz,
Kochi,2011,71703,Petrol,Automatic,First,14.74,1991.0,181.03,5.0,4707100.0,n,e,
Hyderabad,2016,33000,Petrol,Manual,First,17.8,1198.0,86.7,5.0,3347500.0,honda,amaze,
Kolkata,2012,60000,Diesel,Manual,First,23.59,1364.0,128.92,5.0,1519250.0,toyota,etios,
Jaipur,2015,91000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,2961250.0,renault,duster,
Hyderabad,2012,72000,LPG,Manual,First,26.2,998.0,58.2,5.0,1467750.0,maruti,wagon-r,
Kolkata,2011,43000,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,1081500.0,volkswagen,polo,
Coimbatore,2017,63770,Diesel,Manual,First,19.67,1582.0,126.2,5.0,6978250.0,hyundai,creta,
Kolkata,2012,43510,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,10557500.0,jaguar,xf,
Mumbai,2017,52000,Diesel,Manual,First,16.3,1956.0,170.0,5.0,10300000.0,jeep,compass,
Kochi,2018,31427,Diesel,Automatic,First,15.68,1999.0,177.0,5.0,30755800.0,land-rover,range,
Kolkata,2016,29000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,3347500.0,maruti,baleno,
Ahmedabad,2016,56000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,3862500.0,maruti,ciaz,
Jaipur,2007,76000,Petrol,Manual,Second,15.0,1586.0,104.68,5.0,1107250.0,maruti,sx4,
Coimbatore,2015,53615,Diesel,Manual,First,22.7,1582.0,126.24,5.0,4346600.0,hyundai,elantra,
Bangalore,2013,132000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,6432350.0,mitsubishi,pajero,
Pune,2017,14800,Petrol,Manual,First,17.0,1198.0,73.75,5.0,2822200.0,volkswagen,ameo,
Hyderabad,2013,35433,Petrol,Manual,First,18.5,1197.0,85.8,5.0,2163000.0,maruti,ritz,
Hyderabad,2013,82966,Diesel,Manual,First,16.8,1493.0,110.0,5.0,3708000.0,hyundai,verna,
Jaipur,2014,96000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,2472000.0,maruti,swift,
Kochi,2017,39528,Diesel,Manual,First,25.32,1198.0,77.0,6.0,3002450.0,mahindra,kuv,
Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393.0,147.8,7.0,9470850.0,toyota,innova,
Pune,2016,14930,Petrol,Manual,First,21.4,1197.0,83.1,5.0,3012750.0,maruti,baleno,
Mumbai,2016,38000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,3198150.0,honda,jazz,
Delhi,2013,71000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,1879750.0,hyundai,i20,
Delhi,2012,71000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,1905500.0,hyundai,i20,
Pune,2015,50000,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,15450000.0,n,e,
Kochi,2016,48163,Petrol,Manual,First,19.1,1197.0,82.0,5.0,2497750.0,hyundai,xcent,
Coimbatore,2017,19168,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,3568950.0,hyundai,grand,
Kolkata,2016,26000,Petrol,Manual,First,22.74,796.0,47.3,5.0,1339000.0,maruti,alto,
Kolkata,2014,37400,Petrol,Manual,First,18.2,1199.0,82.5,5.0,973350.0,chevrolet,sail,
Mumbai,2018,8682,Diesel,Automatic,First,13.88,1950.0,194.0,5.0,20342500.0,mercedes-benz,c-class,
Mumbai,2012,95000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,5150000.0,skoda,superb,
Kolkata,2009,34000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,5124250.0,audi,a4,
Mumbai,2014,95000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,4866750.0,toyota,innova,
Coimbatore,2017,13689,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,14548750.0,mercedes-benz,cla,
Jaipur,2008,84000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,927000.0,hyundai,i10,
Kolkata,2008,47000,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,721000.0,maruti,swift,
Ahmedabad,2015,60001,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,3733750.0,skoda,rapid,
Hyderabad,2012,96000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,1854000.0,maruti,ritz,
Jaipur,2004,47300,Petrol,Manual,Second,14.4,1599.0,94.0,5.0,618000.0,hyundai,accent,
Coimbatore,2014,28246,Petrol,Manual,Second,17.8,1198.0,86.7,5.0,2544100.0,honda,amaze,
Delhi,2007,65000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,643750.0,maruti,wagon-r,
Chennai,2013,68000,Diesel,Manual,Second,22.07,1199.0,73.9,5.0,2472000.0,volkswagen,polo,
Kochi,2019,11209,Diesel,Automatic,First,12.62,2198.0,158.0,7.0,16042250.0,ford,endeavour,
Pune,2011,41980,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,1699500.0,hyundai,i20,
Bangalore,2012,65000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1236000.0,chevrolet,beat,
Kolkata,2010,38000,Petrol,Manual,First,14.8,1799.0,130.2,5.0,1030000.0,honda,civic,
Pune,2014,51000,Petrol,Manual,First,20.51,998.0,67.04,5.0,1596500.0,maruti,wagon-r,
Kochi,2014,33855,Petrol,Manual,First,15.0,1598.0,103.6,5.0,2621350.0,skoda,rapid,
Pune,2006,146000,Petrol,Manual,Second,15.4,1590.0,94.0,5.0,540750.0,maruti,baleno,
Bangalore,2015,47037,Diesel,Manual,Second,22.77,1498.0,98.59,5.0,3605000.0,ford,ecosport,
Ahmedabad,2010,58000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,1287500.0,hyundai,accent,
Mumbai,2012,61240,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,9012500.0,bmw,5-series,
Chennai,2011,91211,Petrol,Manual,First,20.92,998.0,67.1,5.0,1081500.0,maruti,alto,
Bangalore,2013,84000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,9141250.0,audi,q3,
Mumbai,2008,64226,LPG,Manual,First,17.3,1061.0,57.5,5.0,746750.0,maruti,wagon-r,
Bangalore,2005,67000,Petrol,Automatic,Second,11.3,1794.0,125.0,5.0,1261750.0,toyota,corolla,
Pune,2011,106976,Diesel,Automatic,First,13.5,2400.0,215.0,5.0,7107000.0,volvo,xc60,
Kolkata,2016,27210,Diesel,Manual,First,27.3,1498.0,98.6,5.0,3012750.0,honda,jazz,
Delhi,2017,26322,Diesel,Manual,First,28.09,1248.0,88.5,5.0,4583500.0,maruti,ciaz,
Mumbai,2016,9107,Petrol,Manual,First,20.4,1197.0,81.8,5.0,2652250.0,maruti,swift,
Kochi,2015,63983,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,8528400.0,n,e,
